strategy,signal_date,trade_date,action,ticker,company,nasdaq100_date_added,date_source,price,score,skipped_not_yet_nasdaq100_before_buy,equity_before_trade
Nasdaq-100 Top1 current-member baseline,2019-12-31,2020-01-02,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,38.5,0.770064091986985,0,1.0
Nasdaq-100 Top1 current-member baseline,2020-01-31,2020-02-03,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,35.0,,,0.909090909090909
Nasdaq-100 Top1 current-member baseline,2020-01-31,2020-02-03,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,44.91266632080078,0.7888817113529452,0,0.909090909090909
Nasdaq-100 Top1 current-member baseline,2020-04-30,2020-05-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,50.33333206176758,,,1.0188122494169256
Nasdaq-100 Top1 current-member baseline,2020-04-30,2020-05-01,BUY,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,82.75,0.739020895002303,0,1.0188122494169256
Nasdaq-100 Top1 current-member baseline,2020-05-29,2020-06-01,SELL,DXCM,DexCom,2020-04-20,Wikipedia Nasdaq-100 changes table,95.625,,,1.1773283546887436
Nasdaq-100 Top1 current-member baseline,2020-05-29,2020-06-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,57.20000076293945,1.4337529042314907,0,1.1773283546887436
Nasdaq-100 Top1 current-member baseline,2020-06-30,2020-07-01,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,72.19999694824219,,,1.4860682252067516
Nasdaq-100 Top1 current-member baseline,2020-06-30,2020-07-01,BUY,ZS,Zscaler,2021-12-20,Wikipedia Nasdaq-100 changes table,109.3000030517578,1.365161362514701,0,1.4860682252067516
Nasdaq-100 Top1 current-member baseline,2020-07-31,2020-08-03,SELL,ZS,Zscaler,2021-12-20,Wikipedia Nasdaq-100 changes table,131.0500030517578,,,1.7817862764033383
Nasdaq-100 Top1 current-member baseline,2020-07-31,2020-08-03,BUY,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,92.97000122070312,1.4261781370414242,0,1.7817862764033383
Nasdaq-100 Top1 current-member baseline,2020-09-30,2020-10-01,SELL,PDD,PDD Holdings,2020-08-24,Wikipedia Nasdaq-100 changes table,74.87999725341797,,,1.435088197606143
Nasdaq-100 Top1 current-member baseline,2020-09-30,2020-10-01,BUY,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,146.9199981689453,4.174017995285337,0,1.435088197606143
Nasdaq-100 Top1 current-member baseline,2020-12-31,2021-01-04,SELL,TSLA,"Tesla, Inc.",2013-07-15,Wikipedia Nasdaq-100 changes table,239.82000732421875,,,2.3425188289551127
Nasdaq-100 Top1 current-member baseline,2020-12-31,2021-01-04,BUY,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,41.632999420166016,1.7609716637224797,0,2.3425188289551127
Nasdaq-100 Top1 current-member baseline,2021-06-30,2021-07-01,SELL,MSTR,MicroStrategy,2024-12-23,Wikipedia Nasdaq-100 changes table,65.05899810791016,,,3.660604092505399
Nasdaq-100 Top1 current-member baseline,2021-06-30,2021-07-01,BUY,FANG,Diamondback Energy,2022-12-19,Wikipedia Nasdaq-100 changes table,78.46908620610809,0.862541427589512,0,3.660604092505399
Nasdaq-100 Top1 current-member baseline,2021-08-31,2021-09-01,SELL,FANG,Diamondback Energy,2022-12-19,Wikipedia Nasdaq-100 changes table,62.78097823968585,,,2.928749613217713
Nasdaq-100 Top1 current-member baseline,2021-08-31,2021-09-01,BUY,FTNT,Fortinet,2021-12-20,Wikipedia Nasdaq-100 changes table,63.507999420166016,0.6754178500113119,0,2.928749613217713
Nasdaq-100 Top1 current-member baseline,2021-10-29,2021-11-01,SELL,FTNT,Fortinet,2021-12-20,Wikipedia Nasdaq-100 changes table,67.26799774169922,,,3.102146566836645
